commit,date,benchmark,qubits,time_ns
infra-dense,2026-07-19T00:48:12Z,h_single,2,148.46
infra-dense,2026-07-19T00:48:12Z,h_single,4,848.23
infra-dense,2026-07-19T00:48:12Z,h_single,6,9705
infra-dense,2026-07-19T00:48:12Z,h_single,8,141970
infra-dense,2026-07-19T00:48:12Z,h_single,10,2341400
infra-dense,2026-07-19T00:48:12Z,cnot,2,624.40
infra-dense,2026-07-19T00:48:12Z,cnot,4,5232
infra-dense,2026-07-19T00:48:12Z,cnot,6,179730
infra-dense,2026-07-19T00:48:12Z,cnot,8,9642700
infra-dense,2026-07-19T00:48:12Z,cnot,10,597130000
infra-dense,2026-07-19T00:48:12Z,hadamard_layer,2,316.07
infra-dense,2026-07-19T00:48:12Z,hadamard_layer,4,3601
infra-dense,2026-07-19T00:48:12Z,hadamard_layer,6,62778
infra-dense,2026-07-19T00:48:12Z,hadamard_layer,8,1175900
infra-dense,2026-07-19T00:48:12Z,hadamard_layer,10,23761000
infra-dense,2026-07-19T00:48:12Z,combined_sequence,2,83.956
infra-dense,2026-07-19T00:48:12Z,combined_sequence,4,299.69
infra-dense,2026-07-19T00:48:12Z,combined_sequence,6,4578
